eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
i don't doubt that.,das bezweifele ich gar nicht.,i do not doubt that .,<sos> das bezweifele ich gar nicht .,das bezweifele ich gar nicht . <eos>,6,7
i've still got work to do.,ich habe noch etwas zu erledigen.,i have still got work to do .,<sos> ich habe noch etwas zu erledigen .,ich habe noch etwas zu erledigen . <eos>,8,8
i know tom does that every morning.,"ich weiß, dass tom das jeden morgen tut.",i know tom does that every morning .,"<sos> ich wei , dass tom das jeden morgen tut .","ich wei , dass tom das jeden morgen tut . <eos>",8,11
most children like to jump rope.,die meisten kinder mögen seilspringen.,most children like to jump rope .,<sos> die meisten kinder mogen seilspringen .,die meisten kinder mogen seilspringen . <eos>,7,7
i have a couple of questions i'd like to ask.,"ich habe einige fragen, die ich stellen möchte.",i have a couple of questions i would like to ask .,"<sos> ich habe einige fragen , die ich stellen mochte .","ich habe einige fragen , die ich stellen mochte . <eos>",12,11
i always wash new towels before i use them.,"ich wasche neue handtücher immer, bevor ich sie benutze.",i always wash new towels before i use them .,"<sos> ich wasche neue handtucher immer , bevor ich sie benutze .","ich wasche neue handtucher immer , bevor ich sie benutze . <eos>",10,12
"if you want to, call me this afternoon.","wenn du willst, ruf mich heute nachmittag an.","if you want to , call me this afternoon .","<sos> wenn du willst , ruf mich heute nachmittag an .","wenn du willst , ruf mich heute nachmittag an . <eos>",10,11
i expect you to be there on time.,"ich erwarte, dass du pünktlich da bist.",i expect you to be there on time .,"<sos> ich erwarte , dass du punktlich da bist .","ich erwarte , dass du punktlich da bist . <eos>",9,10
tom didn't want mary to go out with john.,"tom wollte nicht, dass maria mit johannes ausging.",tom did not want mary to go out with john .,"<sos> tom wollte nicht , dass maria mit johannes ausging .","tom wollte nicht , dass maria mit johannes ausging . <eos>",11,11
i wish you'd quit doing what you're doing.,"ich wünschte, du hörtest mit dem, was du gerade tust, nie auf!",i wish you would quit doing what you are doing .,"<sos> ich wunschte , du hortest mit dem , was du gerade tust , nie auf !","ich wunschte , du hortest mit dem , was du gerade tust , nie auf ! <eos>",11,17
my aunt made me a new skirt.,meine tante hat mir einen neuen rock gemacht.,my aunt made me a new skirt .,<sos> meine tante hat mir einen neuen rock gemacht .,meine tante hat mir einen neuen rock gemacht . <eos>,8,10
tom's free.,tom hat zeit.,tom 's free .,<sos> tom hat zeit .,tom hat zeit . <eos>,4,5
why is tom doing this?,warum macht tom das?,why is tom doing this ?,<sos> warum macht tom das ?,warum macht tom das ? <eos>,6,6
are there any volunteers?,gibt es freiwillige?,are there any volunteers ?,<sos> gibt es freiwillige ?,gibt es freiwillige ? <eos>,5,5
don't talk!,sag nichts!,do not talk !,<sos> sag nichts !,sag nichts ! <eos>,4,4
a promise is quickly forgotten.,ein versprechen ist schnell vergessen.,a promise is quickly forgotten .,<sos> ein versprechen ist schnell vergessen .,ein versprechen ist schnell vergessen . <eos>,6,7
i know who you're thinking about.,"ich weiß, an wen ihr denkt.",i know who you are thinking about .,"<sos> ich wei , an wen ihr denkt .","ich wei , an wen ihr denkt . <eos>",8,9
this isn't the only problem that we face.,"das ist nicht das einzige problem, dem wir gegenüberstehen.",this is not the only problem that we face .,"<sos> das ist nicht das einzige problem , dem wir gegenuberstehen .","das ist nicht das einzige problem , dem wir gegenuberstehen . <eos>",10,12
i paid for it already.,ich habe es schon bezahlt.,i paid for it already .,<sos> ich habe es schon bezahlt .,ich habe es schon bezahlt . <eos>,6,7
he's always been kind to me.,er war immer freundlich zu mir.,he is always been kind to me .,<sos> er war immer freundlich zu mir .,er war immer freundlich zu mir . <eos>,8,8
the flowers will brighten up the table.,mit den blumen wird der tisch freundlicher aussehen.,the flowers will brighten up the table .,<sos> mit den blumen wird der tisch freundlicher aussehen .,mit den blumen wird der tisch freundlicher aussehen . <eos>,8,10
please don't pry into my personal affairs.,stecken sie ihre nase bitte nicht in meine privatangelegenheiten!,please do not pry into my personal affairs .,<sos> stecken sie ihre nase bitte nicht in meine privatangelegenheiten !,stecken sie ihre nase bitte nicht in meine privatangelegenheiten ! <eos>,9,11
i was lucky to get this job.,"ich hatte glück, dass ich diese stelle bekommen habe.",i was lucky to get this job .,"<sos> ich hatte gluck , dass ich diese stelle bekommen habe .","ich hatte gluck , dass ich diese stelle bekommen habe . <eos>",8,12
tom is only a couple of years older than mary.,tom ist nur ein paar jahre älter als maria.,tom is only a couple of years older than mary .,<sos> tom ist nur ein paar jahre alter als maria .,tom ist nur ein paar jahre alter als maria . <eos>,11,11
you're wasting our time.,du verschwendest unsere zeit.,you are wasting our time .,<sos> du verschwendest unsere zeit .,du verschwendest unsere zeit . <eos>,6,6
some people like coffee and others prefer tea.,"manche leute mögen kaffee, während andere tee bevorzugen.",some people like coffee and others prefer tea .,"<sos> manche leute mogen kaffee , wahrend andere tee bevorzugen .","manche leute mogen kaffee , wahrend andere tee bevorzugen . <eos>",9,11
it's a new book.,das ist ein neues buch.,it is a new book .,<sos> das ist ein neues buch .,das ist ein neues buch . <eos>,6,7
"come on up, tom.","komm schon, tom!","come on up , tom .","<sos> komm schon , tom !","komm schon , tom ! <eos>",6,6
tom began to run.,tom begann zu rennen.,tom began to run .,<sos> tom begann zu rennen .,tom begann zu rennen . <eos>,5,6
tom gives us money.,tom gibt uns geld.,tom gives us money .,<sos> tom gibt uns geld .,tom gibt uns geld . <eos>,5,6
we long for peace.,wir sehnen uns nach frieden.,we long for peace .,<sos> wir sehnen uns nach frieden .,wir sehnen uns nach frieden . <eos>,5,7
tom used to live in boston.,tom lebte früher in boston.,tom used to live in boston .,<sos> tom lebte fruher in boston .,tom lebte fruher in boston . <eos>,7,7
i don't think i've ever been this busy.,"ich glaube, ich hatte noch nie so viel zu tun.",i do not think i have ever been this busy .,"<sos> ich glaube , ich hatte noch nie so viel zu tun .","ich glaube , ich hatte noch nie so viel zu tun . <eos>",11,13
